================================================================================
           BHARATIYA SARVODAYA BANK (BSB) - SYSTEM LOGIN CREDENTIALS
================================================================================

--------------------------------------------------------------------------------
1. STAFF USERS (USER REGISTRY - 10 EMPLOYEES IN EACH OF THE 10 BRANCHES = 100 STAFF USERS)
--------------------------------------------------------------------------------
S.No | Full Name             | User ID      | Email Address           | Password     | Role             | Branch Name
-----|-----------------------|--------------|-------------------------|--------------|------------------|---------------------------
-- BRANCH 1: MUMBAI MAIN HQ BRANCH (b-main) --
1    | Rajesh Sharma         | NX@SHARMA01  | admin@bank.com          | Admin123!    | Super Admin      | Mumbai Main HQ Branch
2    | Aarav Shah            | NX@MUMEMP02  | mumbai.emp2@bank.com    | Teller123!   | Employee         | Mumbai Main HQ Branch
3    | Priyanka Kulkarni     | NX@MUMEMP03  | mumbai.emp3@bank.com    | Teller123!   | Employee         | Mumbai Main HQ Branch
4    | Aditya Jadhav         | NX@MUMEMP04  | mumbai.emp4@bank.com    | Teller123!   | Employee         | Mumbai Main HQ Branch
5    | Snehal Shinde         | NX@MUMEMP05  | mumbai.emp5@bank.com    | Teller123!   | Loan Officer     | Mumbai Main HQ Branch
6    | Rohan Sawant          | NX@MUMEMP06  | mumbai.emp6@bank.com    | Teller123!   | Employee         | Mumbai Main HQ Branch
7    | Tanvi More            | NX@MUMEMP07  | mumbai.emp7@bank.com    | Teller123!   | Employee         | Mumbai Main HQ Branch
8    | Nikhil Patil          | NX@MUMEMP08  | mumbai.emp8@bank.com    | Teller123!   | Compliance Officer | Mumbai Main HQ Branch
9    | Riya Salunkhe         | NX@MUMEMP09  | mumbai.emp9@bank.com    | Teller123!   | Employee         | Mumbai Main HQ Branch
10   | Harshvardhan Bhosale  | NX@MUMEMP10  | mumbai.emp10@bank.com   | Teller123!   | Employee         | Mumbai Main HQ Branch

-- BRANCH 2: CONNAUGHT PLACE BRANCH (b-delhi) --
11   | Priya Patel           | NX@PATEL002  | manager@bank.com        | Manager123!  | Branch Manager   | Connaught Place Branch
12   | Gaurav Kapoor         | NX@DELEMP02  | delhi.emp2@bank.com     | Teller123!   | Employee         | Connaught Place Branch
13   | Meenakshi Sharma      | NX@DELEMP03  | delhi.emp3@bank.com     | Teller123!   | Employee         | Connaught Place Branch
14   | Abhinav Malhotra      | NX@DELEMP04  | delhi.emp4@bank.com     | Teller123!   | Employee         | Connaught Place Branch
15   | Neha Aggarwal         | NX@DELEMP05  | delhi.emp5@bank.com     | Teller123!   | Loan Officer     | Connaught Place Branch
16   | Kunal Khurana         | NX@DELEMP06  | delhi.emp6@bank.com     | Teller123!   | Employee         | Connaught Place Branch
17   | Divya Bhasin          | NX@DELEMP07  | delhi.emp7@bank.com     | Teller123!   | Employee         | Connaught Place Branch
18   | Tarun Sethi           | NX@DELEMP08  | delhi.emp8@bank.com     | Teller123!   | Compliance Officer | Connaught Place Branch
19   | Radhika Tandon        | NX@DELEMP09  | delhi.emp9@bank.com     | Teller123!   | Employee         | Connaught Place Branch
20   | Alok Rastogi          | NX@DELEMP10  | delhi.emp10@bank.com    | Teller123!   | Employee         | Connaught Place Branch

-- BRANCH 3: MG ROAD BRANCH (b-blr) --
21   | Amit Verma            | NX@VERMA003  | auditor@bank.com        | Auditor123!  | Auditor          | MG Road Branch
22   | Karthik Rao           | NX@BLREMP02  | bangalore.emp2@bank.com | Teller123!   | Branch Manager   | MG Road Branch
23   | Deepa Hegde           | NX@BLREMP03  | bangalore.emp3@bank.com | Teller123!   | Employee         | MG Road Branch
24   | Ashwin Murthy         | NX@BLREMP04  | bangalore.emp4@bank.com | Teller123!   | Employee         | MG Road Branch
25   | Lavanya Gowda         | NX@BLREMP05  | bangalore.emp5@bank.com | Teller123!   | Loan Officer     | MG Road Branch
26   | Varun Kamath          | NX@BLREMP06  | bangalore.emp6@bank.com | Teller123!   | Employee         | MG Road Branch
27   | Swathi Bhat           | NX@BLREMP07  | bangalore.emp7@bank.com | Teller123!   | Employee         | MG Road Branch
28   | Praveen Shetty        | NX@BLREMP08  | bangalore.emp8@bank.com | Teller123!   | Employee         | MG Road Branch
29   | Keerthi Prasad        | NX@BLREMP09  | bangalore.emp9@bank.com | Teller123!   | Employee         | MG Road Branch
30   | Chethan Reddy         | NX@BLREMP10  | bangalore.emp10@bank.com| Teller123!   | Employee         | MG Road Branch

-- BRANCH 4: ANNA SALAI BRANCH (b-chennai) --
31   | Sunita Reddy          | NX@REDDY004  | teller@bank.com         | Teller123!   | Employee         | Anna Salai Branch
32   | K. Sundaram           | NX@CHEEMP02  | chennai.emp2@bank.com   | Teller123!   | Branch Manager   | Anna Salai Branch
33   | Revathi Raman         | NX@CHEEMP03  | chennai.emp3@bank.com   | Teller123!   | Employee         | Anna Salai Branch
